"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","HEALTHEXP","TOT","PC_GDP","A","2011",16.367,
"USA","HEALTHEXP","TOT","PC_GDP","A","2012",16.366,
"USA","HEALTHEXP","TOT","PC_GDP","A","2013",16.331,
"USA","HEALTHEXP","TOT","PC_GDP","A","2014",16.505,
"USA","HEALTHEXP","TOT","PC_GDP","A","2015",16.816,
"USA","HEALTHEXP","TOT","PC_GDP","A","2016",17.073,
"USA","HEALTHEXP","TOT","PC_GDP","A","2017",17.15,"E"
"BRA","HEALTHEXP","TOT","PC_GDP","A","2010",7.973,"E"
"BRA","HEALTHEXP","TOT","PC_GDP","A","2011",7.817,"E"
"BRA","HEALTHEXP","TOT","PC_GDP","A","2012",7.817,"E"
"BRA","HEALTHEXP","TOT","PC_GDP","A","2013",7.988,"E"
"BRA","HEALTHEXP","TOT","PC_GDP","A","2014",8.432,"E"
"BRA","HEALTHEXP","TOT","PC_GDP","A","2015",8.919,"E"
"CHN","HEALTHEXP","TOT","PC_GDP","A","2010",4.433,"E"
"CHN","HEALTHEXP","TOT","PC_GDP","A","2011",4.588,"E"
"CHN","HEALTHEXP","TOT","PC_GDP","A","2012",4.799,"E"
"CHN","HEALTHEXP","TOT","PC_GDP","A","2013",4.88,"E"
"CHN","HEALTHEXP","TOT","PC_GDP","A","2014",4.989,"E"
"CHN","HEALTHEXP","TOT","PC_GDP","A","2015",5.402,"E"
"IND","HEALTHEXP","TOT","PC_GDP","A","2010",3.272,"E"
"IND","HEALTHEXP","TOT","PC_GDP","A","2011",3.246,"E"
"IND","HEALTHEXP","TOT","PC_GDP","A","2012",3.329,"E"
"IND","HEALTHEXP","TOT","PC_GDP","A","2013",3.749,"E"
"IND","HEALTHEXP","TOT","PC_GDP","A","2014",3.62,"E"
"IND","HEALTHEXP","TOT","PC_GDP","A","2015",3.863,"E"
"IDN","HEALTHEXP","TOT","PC_GDP","A","2010",3.452,"E"
"IDN","HEALTHEXP","TOT","PC_GDP","A","2011",3.342,"E"
"IDN","HEALTHEXP","TOT","PC_GDP","A","2012",3.375,"E"
"IDN","HEALTHEXP","TOT","PC_GDP","A","2013",3.371,"E"
"IDN","HEALTHEXP","TOT","PC_GDP","A","2014",3.439,"E"
"IDN","HEALTHEXP","TOT","PC_GDP","A","2015",3.433,"E"
"RUS","HEALTHEXP","TOT","PC_GDP","A","2010",4.945,
"RUS","HEALTHEXP","TOT","PC_GDP","A","2011",4.782,
"RUS","HEALTHEXP","TOT","PC_GDP","A","2012",4.932,
"RUS","HEALTHEXP","TOT","PC_GDP","A","2013",5.071,
"RUS","HEALTHEXP","TOT","PC_GDP","A","2014",5.171,
"RUS","HEALTHEXP","TOT","PC_GDP","A","2015",5.287,
"RUS","HEALTHEXP","TOT","PC_GDP","A","2016",5.263,
"ZAF","HEALTHEXP","TOT","PC_GDP","A","2010",7.415,"E"
"ZAF","HEALTHEXP","TOT","PC_GDP","A","2011",7.497,"E"
"ZAF","HEALTHEXP","TOT","PC_GDP","A","2012",7.753,"E"
"ZAF","HEALTHEXP","TOT","PC_GDP","A","2013",7.721,"E"
"ZAF","HEALTHEXP","TOT","PC_GDP","A","2014",7.93,"E"
"ZAF","HEALTHEXP","TOT","PC_GDP","A","2015",8.198,"E"
